Method,trial_num,Bounds,Dimensions,Samples,Iterations,Function,Fitness_Value,Run_Time_Sec
HDS,0,"[(-100, 100)]",10,1000,100,F102017,1030.1489921235118,13.197512865066528
HDS,0,"[(-100, 100)]",50,1000,100,F102017,265375.80180353863,14.626643896102903
HDS,0,"[(-100, 100)]",30,1000,100,F102017,115309.33397456634,14.575648069381714
HDS,0,"[(-100, 100)]",100,1000,100,F102017,1447265.9926705826,14.92371702194214
HDS,0,"[(-100, 100)]",10,1000,100,F112017,185599.71087044975,17.353888988494873
HDS,0,"[(-100, 100)]",30,1000,100,F112017,31267385.30779171,17.543477058410645
HDS,0,"[(-100, 100)]",50,1000,100,F112017,157067252.5218249,17.696208000183105
HDS,0,"[(-100, 100)]",100,1000,100,F112017,2609109584.9377856,18.91977906227112
Sobol,0,"[(-100, 100)]",10,1000,100,F102017,1038.4448467371035,14.385634899139404
Sobol,0,"[(-100, 100)]",50,1000,100,F102017,310359.3763623857,14.334174871444702
Sobol,0,"[(-100, 100)]",30,1000,100,F102017,67750.20621788607,14.62328600883484
Sobol,0,"[(-100, 100)]",100,1000,100,F102017,1192436.8492591528,14.632447957992554
Sobol,0,"[(-100, 100)]",30,1000,100,F112017,73790696.86272275,17.56480884552002
Sobol,0,"[(-100, 100)]",50,1000,100,F112017,213451106.5244055,17.593202829360962
Sobol,0,"[(-100, 100)]",10,1000,100,F112017,93814.42071665544,17.909343957901
Sobol,0,"[(-100, 100)]",100,1000,100,F112017,3998469074.0286913,18.46941900253296
HDS,0,"[(-100, 100)]",10,1000,100,F12017,11292.015020524506,11.408370018005373
HDS,0,"[(-100, 100)]",30,1000,100,F12017,13091473.260192318,11.99463987350464
HDS,0,"[(-100, 100)]",100,1000,100,F12017,52026907108.63132,12.886906147003174
HDS,0,"[(-100, 100)]",50,1000,100,F12017,185908656.3634407,13.256832122802734
HDS,0,"[(-100, 100)]",10,1000,100,F122017,1644.2279461702258,14.958882093429564
Sobol,0,"[(-100, 100)]",10,1000,100,F12017,10324.472210652972,11.427390813827516
HDS,0,"[(-100, 100)]",50,1000,100,F122017,69395818.65163124,15.976745128631592
HDS,0,"[(-100, 100)]",30,1000,100,F122017,437005.3448393608,16.19674587249756
Sobol,0,"[(-100, 100)]",30,1000,100,F12017,22808488.97164345,11.599161148071287
HDS,0,"[(-100, 100)]",100,1000,100,F122017,1859575989.902438,16.89951801300049
Sobol,0,"[(-100, 100)]",100,1000,100,F12017,35637938042.02019,12.171154975891112
Sobol,0,"[(-100, 100)]",50,1000,100,F12017,852866590.617806,12.514845848083496
Sobol,0,"[(-100, 100)]",10,1000,100,F122017,1466.3892554977128,15.698917865753174
HDS,0,"[(-100, 100)]",10,1000,100,F132017,1366.473491879328,15.728652000427246
Sobol,0,"[(-100, 100)]",50,1000,100,F122017,28350143.93673056,15.941729068756104
Sobol,0,"[(-100, 100)]",30,1000,100,F122017,822674.7062269108,16.487428188323975
HDS,0,"[(-100, 100)]",30,1000,100,F132017,295533.67458275845,17.19831109046936
Sobol,0,"[(-100, 100)]",100,1000,100,F122017,7135391289.6258135,16.03815197944641
HDS,0,"[(-100, 100)]",50,1000,100,F132017,3054172.776897264,19.416751861572266
HDS,0,"[(-100, 100)]",100,1000,100,F132017,23121813.833656013,22.350929975509644
HDS,0,"[(-100, 100)]",10,1000,100,F142017,1689.993632152662,15.81865096092224
Sobol,0,"[(-100, 100)]",10,1000,100,F132017,1394.4440382923308,15.901979207992554
HDS,0,"[(-100, 100)]",30,1000,100,F142017,1136509.3236558645,16.205688953399658
HDS,0,"[(-100, 100)]",50,1000,100,F142017,10409802.932690164,17.361140966415405
Sobol,0,"[(-100, 100)]",30,1000,100,F132017,283419.9905371431,17.482124090194702
HDS,0,"[(-100, 100)]",100,1000,100,F142017,1166037188.6633615,18.30805802345276
Sobol,0,"[(-100, 100)]",50,1000,100,F132017,1985124.81061668,19.20041584968567
